ncalls,tottime,percall,cumtime,percall,filename:lineno(function)
61,0.000,0.000,0.003,0.000,D:\Programme\anaconda3\envs\fml\lib\re.py:289(_compile)
24,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\enum.py:358(__call__)
24,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\enum.py:670(__new__)
23,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\enum.py:792(value)
7,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\sre_compile.py:65(_combine_flags)
19/6,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\sre_compile.py:71(_compile)
6,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\enum.py:977(__and__)
5,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\sre_compile.py:249(_compile_charset)
5,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\sre_compile.py:276(_optimize_charset)
1,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\sre_compile.py:413(<listcomp>)
1,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\sre_compile.py:411(_mk_bitmap)
8,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\sre_compile.py:423(_simple)
3,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\sre_compile.py:432(_generate_overlap_table)
12,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\sre_compile.py:453(_get_iscased)
9/6,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\sre_compile.py:461(_get_literal_prefix)
3,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\sre_compile.py:492(_get_charset_prefix)
6,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\sre_compile.py:536(_compile_info)
12,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\sre_compile.py:595(isstring)
6,0.000,0.000,0.001,0.000,D:\Programme\anaconda3\envs\fml\lib\sre_compile.py:598(_code)
6,0.000,0.000,0.002,0.000,D:\Programme\anaconda3\envs\fml\lib\sre_compile.py:759(compile)
6,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\sre_parse.py:76(__init__)
18,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\sre_parse.py:81(groups)
3,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\sre_parse.py:84(opengroup)
3,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\sre_parse.py:96(closegroup)
19,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\sre_parse.py:111(__init__)
41,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\sre_parse.py:160(__len__)
4,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\sre_parse.py:162(__delitem__)
102,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\sre_parse.py:164(__getitem__)
8,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\sre_parse.py:168(__setitem__)
26,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\sre_parse.py:172(append)
22/9,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\sre_parse.py:174(getwidth)
6,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\sre_parse.py:224(__init__)
47,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\sre_parse.py:233(__next)
30,0.000,0.000,0.000,0.000,D:\Programme\anaconda3\envs\fml\lib\sre_parse.py:249(match)
